build,level,n,melee_defense_base_mean,magic_defense_base_mean,missile_defense_base_mean,missile_weapons_base_mean,light_weapons_base_mean,heavy_weapons_base_mean,finesse_weapons_base_mean,two_handed_combat_base_mean,war_magic_base_mean,void_magic_base_mean,life_magic_base_mean,fletching_base_mean,melee_defense_base_min,magic_defense_base_min,missile_defense_base_min,missile_weapons_base_min,light_weapons_base_min,heavy_weapons_base_min,finesse_weapons_base_min,two_handed_combat_base_min,war_magic_base_min,void_magic_base_min,life_magic_base_min,fletching_base_min,melee_defense_base_max,magic_defense_base_max,missile_defense_base_max,missile_weapons_base_max,light_weapons_base_max,heavy_weapons_base_max,finesse_weapons_base_max,two_handed_combat_base_max,war_magic_base_max,void_magic_base_max,life_magic_base_max,fletching_base_max
ARCHER,62,7,269,133,116,272,133,116,135,116,0,0,23,270,116,46,69,122,99,99,116,99,0,0,0,233,323,179,206,305,253,133,148,133,0,0,164,307
ARCHER,63,5,221,96,69,208,101,101,122,101,0,0,78,174,70,8,36,60,57,57,60,57,0,0,0,0,319,170,88,309,117,117,147,117,0,0,197,297
ARCHER,64,1,321,204,84,300,132,132,141,132,0,0,0,288,321,204,84,300,132,132,141,132,0,0,0,288,321,204,84,300,132,132,141,132,0,0,0,288
ARCHER,65,3,237,144,77,231,118,118,129,118,0,0,78,167,112,44,67,120,113,113,112,113,0,0,0,0,334,220,91,303,124,124,151,124,0,0,234,252
ARCHER,66,1,322,149,82,290,107,107,137,107,0,0,0,322,322,149,82,290,107,107,137,107,0,0,0,322,322,149,82,290,107,107,137,107,0,0,0,322
ARCHER,67,6,256,115,75,262,110,110,125,110,0,0,108,236,77,14,40,60,87,87,67,87,0,0,0,0,328,178,89,316,123,123,148,123,0,0,228,312
ARCHER,68,3,245,116,87,275,132,132,144,132,0,0,47,254,144,40,83,215,130,130,139,130,0,0,0,193,331,174,91,309,135,135,151,135,0,0,72,313
ARCHER,69,6,271,107,78,250,121,121,128,121,0,0,63,182,137,26,52,104,101,101,87,101,0,0,0,0,333,156,89,317,141,141,148,141,0,0,208,324
ARCHER,70,5,300,178,120,221,119,119,143,119,0,0,81,238,218,171,74,120,107,107,124,107,0,0,0,221,334,195,265,297,127,127,154,127,0,0,205,282
ARCHER,71,7,258,106,88,230,110,110,164,110,0,0,57,213,77,14,40,60,66,66,77,66,0,0,0,0,341,227,180,315,130,130,326,130,0,0,210,335
ARCHER,72,6,213,97,87,225,97,97,145,97,0,0,12,174,77,14,40,60,65,65,67,65,0,0,0,0,335,191,205,315,121,121,327,121,0,0,70,310
ARCHER,73,3,301,158,85,288,112,112,142,112,0,0,59,180,235,140,69,230,86,86,115,86,0,0,0,0,339,170,94,320,132,132,157,132,0,0,178,299
ARCHER,74,10,283,125,82,230,121,121,137,121,0,0,136,219,77,14,40,60,47,47,67,47,0,0,0,0,342,174,93,319,140,140,155,140,0,0,230,328
ARCHER,75,6,308,113,110,301,130,130,152,130,0,0,49,230,281,44,86,271,115,115,140,115,0,0,0,181,350,192,205,324,153,153,163,153,0,0,152,270
ARCHER,76,4,265,78,76,251,122,122,126,122,0,0,0,230,37,21,22,60,100,100,37,100,0,0,0,0,351,185,96,320,140,140,160,140,0,0,0,325
ARCHER,77,7,203,99,70,201,117,117,116,117,0,0,27,93,77,14,40,60,70,70,67,70,0,0,0,0,294,198,92,305,143,143,153,143,0,0,186,250
ARCHER,78,4,278,116,84,244,117,117,141,117,0,0,0,202,110,52,60,60,90,90,100,90,0,0,0,0,343,183,94,310,139,139,157,139,0,0,0,305
ARCHER,79,4,251,103,82,246,117,117,139,117,0,0,59,111,153,50,72,118,90,90,120,90,0,0,0,0,328,172,90,322,133,133,153,133,0,0,235,334
ARCHER,80,7,260,95,85,212,122,122,137,122,0,0,66,188,151,47,68,110,113,113,113,113,0,0,0,0,341,177,94,305,137,137,153,137,0,0,243,252
ARCHER,81,9,268,82,84,256,128,128,141,128,0,0,73,225,77,14,40,60,77,77,77,77,0,0,0,50,344,188,100,310,147,147,167,147,0,0,243,340
ARCHER,82,3,211,44,90,181,141,141,150,141,0,0,23,163,151,39,84,112,135,135,141,135,0,0,0,118,328,49,100,310,147,147,167,147,0,0,70,235
ARCHER,83,3,286,125,73,274,121,121,122,121,0,0,77,170,244,100,40,250,97,97,67,97,0,0,0,0,343,157,92,323,140,140,153,140,0,0,232,337
ARCHER,84,6,288,59,88,258,135,135,147,135,0,0,94,104,216,30,75,135,123,123,126,123,0,0,0,0,333,144,100,321,150,150,167,150,0,0,210,237
ARCHER,85,6,281,115,121,248,124,124,175,124,0,0,51,216,107,14,58,61,98,98,97,98,0,0,0,0,357,197,238,326,139,139,343,139,0,0,224,354
ARCHER,86,4,310,150,160,220,134,134,151,134,0,0,59,246,242,111,94,126,127,127,133,127,0,0,0,167,353,194,198,320,140,140,161,140,0,0,235,355
ARCHER,87,2,349,196,97,320,133,133,161,133,0,0,190,155,345,159,96,320,133,133,159,133,0,0,185,0,353,232,98,320,133,133,163,133,0,0,195,310
ARCHER,88,3,332,190,122,326,133,133,247,133,0,0,68,149,303,166,85,310,128,128,142,128,0,0,0,0,359,221,184,335,137,137,335,137,0,0,204,233
ARCHER,89,5,290,101,88,243,146,146,147,146,0,0,57,229,119,36,71,118,135,135,119,135,0,0,0,130,358,151,98,335,159,159,164,159,0,0,157,293
ARCHER,90,2,292,142,90,303,126,126,151,126,0,124,114,305,235,114,88,284,120,120,147,120,0,0,0,291,350,171,93,322,131,131,155,131,0,248,227,319
ARCHER,91,3,286,95,91,199,142,142,152,142,0,0,0,185,163,46,86,125,140,140,143,140,0,0,0,0,353,185,96,335,143,143,160,143,0,0,0,285
ARCHER,92,3,296,186,138,317,137,137,144,137,0,0,145,282,281,175,76,310,127,127,127,127,0,0,0,234,305,203,238,329,144,144,163,144,0,0,225,335
ARCHER,93,7,265,126,75,222,117,117,153,117,0,0,100,132,48,14,29,70,83,83,48,83,0,0,0,0,351,225,100,327,139,139,321,139,0,0,250,281
ARCHER,94,3,307,127,77,304,112,112,129,112,0,0,112,71,277,14,40,252,50,50,67,50,0,0,0,0,337,185,100,331,153,153,167,153,0,0,255,214
ARCHER,95,4,292,108,70,245,104,104,117,104,0,0,82,167,178,41,40,67,90,90,67,90,0,0,0,0,352,178,94,335,126,126,157,126,0,0,239,355
ARCHER,96,5,242,107,106,236,126,126,147,126,0,0,45,201,91,19,52,88,101,101,103,101,0,0,0,0,352,184,208,341,142,142,163,142,0,0,223,337
ARCHER,97,4,302,146,126,297,136,136,133,136,0,0,0,154,277,14,72,260,125,125,120,125,0,0,0,0,339,244,276,318,147,147,156,147,0,0,0,309
ARCHER,98,7,215,71,100,173,106,106,132,106,0,0,32,139,93,21,50,60,46,46,83,46,0,0,0,0,363,171,241,342,152,152,162,152,0,0,222,336
ARCHER,99,1,255,42,74,240,107,107,124,107,0,0,0,222,255,42,74,240,107,107,124,107,0,0,0,222,255,42,74,240,107,107,124,107,0,0,0,222
ARCHER,100,7,295,143,100,272,125,125,163,125,0,0,99,229,251,14,47,135,90,90,78,90,0,0,0,0,354,210,203,334,143,143,291,143,0,0,257,379
ARCHER,101,5,276,113,93,202,136,136,151,136,0,0,98,275,144,44,86,130,130,130,117,130,0,0,0,133,379,167,101,330,143,143,169,143,0,0,256,370
ARCHER,102,2,296,126,129,282,124,124,206,124,0,0,115,290,251,73,96,250,117,117,160,117,0,0,0,250,340,180,162,315,130,130,252,130,0,0,230,330
ARCHER,103,10,297,129,89,275,130,134,154,130,0,0,96,265,90,14,44,65,92,92,73,92,0,0,0,58,371,210,102,340,156,156,230,156,0,0,260,366
ARCHER,104,4,271,150,82,259,121,121,136,121,0,0,108,167,77,8,40,60,67,67,67,67,0,0,0,0,369,250,102,344,143,143,170,143,0,0,251,336
ARCHER,105,3,254,137,148,334,139,141,150,139,0,0,133,223,151,33,86,306,131,131,136,131,0,0,0,163,334,191,270,350,147,147,166,147,0,0,213,295
ARCHER,106,1,346,162,257,324,150,147,143,147,0,0,0,291,346,162,257,324,150,147,143,147,0,0,0,291,346,162,257,324,150,147,143,147,0,0,0,291
ARCHER,107,3,330,114,138,291,109,109,132,109,0,0,75,210,257,14,40,198,47,47,67,47,0,0,0,0,370,264,273,340,144,144,169,144,0,0,225,371
ARCHER,108,5,302,152,89,277,133,133,150,133,0,0,62,208,103,49,62,110,123,123,103,123,0,0,0,0,384,221,104,345,157,157,174,157,0,0,250,300
ARCHER,109,4,289,172,127,211,108,108,184,108,0,0,0,159,77,14,40,60,47,47,77,47,0,0,0,0,375,257,296,344,139,139,323,139,0,0,0,363
ARCHER,110,4,261,116,116,249,117,117,134,117,0,0,124,251,110,25,60,110,84,84,100,84,0,0,0,124,377,207,236,347,148,148,171,148,0,0,254,375
ARCHER,111,1,256,157,89,348,150,150,149,150,0,0,0,263,256,157,89,348,150,150,149,150,0,0,0,263,256,157,89,348,150,150,149,150,0,0,0,263
ARCHER,112,4,324,94,90,252,128,128,194,128,0,0,68,109,288,39,84,115,110,110,133,110,0,0,0,0,358,177,94,325,141,141,332,141,0,0,207,233
ARCHER,113,2,369,196,145,341,221,154,157,154,0,0,120,335,360,192,100,340,167,142,147,142,0,0,0,300,378,200,190,342,275,167,167,167,0,0,240,370
ARCHER,114,4,284,121,84,268,125,125,139,125,0,0,133,203,207,12,62,213,107,107,103,107,0,0,0,100,371,259,101,341,141,141,168,141,0,0,270,305
ARCHER,115,3,353,136,97,322,146,146,162,146,0,0,70,218,333,85,92,312,133,133,153,133,0,0,0,0,373,169,104,339,167,167,173,167,0,0,211,353
ARCHER,116,1,381,130,98,343,138,199,164,138,0,0,0,0,381,130,98,343,138,199,164,138,0,0,0,0,381,130,98,343,138,199,164,138,0,0,0,0
ARCHER,117,2,231,118,78,198,130,130,130,130,0,0,149,149,95,31,57,60,108,108,95,108,0,0,51,0,367,205,99,335,151,151,165,151,0,0,247,298
ARCHER,119,3,318,174,94,342,137,137,157,137,0,0,164,238,253,121,92,335,127,127,153,127,0,0,0,0,365,210,96,351,143,143,161,143,0,0,255,360
ARCHER,120,2,374,226,159,349,144,144,168,144,0,0,128,378,373,195,102,342,142,142,167,142,0,0,0,376,376,258,216,356,146,146,170,146,0,0,255,379
ARCHER,121,1,309,45,85,293,138,138,142,138,0,0,220,233,309,45,85,293,138,138,142,138,0,0,220,233,309,45,85,293,138,138,142,138,0,0,220,233
ARCHER,122,3,243,123,106,244,103,103,122,103,0,0,165,200,77,21,40,60,37,37,67,37,0,0,0,77,350,197,189,338,139,139,150,139,0,0,257,285
ARCHER,123,4,268,114,94,246,142,142,161,142,0,0,122,112,197,14,80,145,107,107,138,107,0,0,0,0,336,237,112,355,160,160,197,160,0,0,283,276
ARCHER,124,3,329,198,136,332,130,130,147,130,0,0,65,262,286,138,87,319,117,117,140,117,0,0,0,244,350,238,227,340,145,145,155,145,0,0,195,279
ARCHER,125,3,304,146,86,262,126,126,143,126,0,0,178,208,169,25,52,95,87,87,87,87,0,0,35,97,384,215,104,360,154,154,173,154,0,0,255,378
ARCHER,126,4,359,147,123,345,145,145,162,145,0,0,187,231,344,40,89,335,135,135,149,135,0,0,0,0,382,212,200,358,156,156,175,156,0,0,258,374
ARCHER,127,3,302,146,102,313,142,142,171,147,0,0,170,165,188,58,91,239,127,127,152,127,0,0,0,0,364,204,110,350,150,150,183,164,0,0,266,303
ARCHER,128,3,164,27,57,141,120,120,95,120,0,0,24,72,77,8,40,60,75,75,67,75,0,0,0,0,315,58,90,303,171,171,151,171,0,0,71,168
ARCHER,129,3,273,122,163,297,145,145,173,145,0,0,75,148,211,23,87,229,132,132,162,132,0,0,0,0,331,192,214,335,156,156,193,156,0,0,225,338
ARCHER,130,6,279,96,78,248,131,156,131,131,0,0,37,51,85,16,51,63,90,90,85,90,0,0,0,0,378,251,101,364,163,279,169,163,0,0,224,308
ARCHER,131,1,385,201,106,360,161,161,176,161,0,0,256,301,385,201,106,360,161,161,176,161,0,0,256,301,385,201,106,360,161,161,176,161,0,0,256,301
ARCHER,132,4,296,137,161,290,150,150,158,150,0,0,186,254,143,19,80,105,143,143,133,143,0,0,0,92,393,230,247,355,158,158,177,158,0,0,306,381
ARCHER,133,1,339,232,81,371,145,145,135,145,0,0,0,248,339,232,81,371,145,145,135,145,0,0,0,248,339,232,81,371,145,145,135,145,0,0,0,248
ARCHER,134,3,346,202,136,344,146,146,148,146,0,0,148,218,333,179,87,333,138,138,143,138,0,0,0,0,354,220,226,360,151,151,157,151,0,0,260,380
ARCHER,135,4,267,99,98,279,145,145,163,145,0,0,186,174,150,43,86,175,123,123,144,123,0,0,0,0,385,198,108,361,160,160,180,160,0,0,273,354
ARCHER,136,2,377,210,95,334,140,140,158,140,0,0,158,155,374,210,90,306,131,131,150,131,0,0,0,0,380,210,100,362,150,150,167,150,0,0,317,310
ARCHER,137,3,374,168,157,354,147,147,170,147,0,0,179,237,333,50,92,340,139,139,153,139,0,0,0,0,402,229,270,363,155,155,180,155,0,0,272,376
ARCHER,138,2,377,142,158,342,162,162,174,162,0,0,136,270,361,46,106,340,161,161,170,161,0,0,0,252,393,239,210,343,162,162,177,162,0,0,271,289
ARCHER,139,4,359,175,103,264,152,152,171,152,0,0,192,285,290,139,90,148,150,150,150,150,0,0,82,173,398,230,111,377,157,157,185,157,0,0,279,378
ARCHER,140,3,382,239,167,368,157,157,163,157,0,0,123,356,373,212,91,362,146,146,151,146,0,0,0,336,400,254,215,372,167,167,179,167,0,0,260,373
ARCHER,141,5,340,165,99,283,152,152,164,152,0,0,151,186,250,64,78,146,119,119,130,119,0,0,0,0,395,206,107,362,173,173,178,173,0,0,270,324
ARCHER,142,4,358,157,102,349,141,141,171,141,0,0,74,292,309,34,96,306,123,123,160,123,0,0,0,181,404,207,109,376,154,154,182,154,0,0,275,345
ARCHER,143,3,364,222,147,354,146,146,162,146,0,0,92,342,310,176,84,335,138,138,140,138,0,0,0,309,403,260,257,364,152,152,180,152,0,0,276,378
ARCHER,144,4,303,144,122,322,142,142,144,142,0,0,146,254,280,99,89,255,105,105,123,105,0,0,0,165,336,219,188,361,159,159,166,159,0,0,266,320
ARCHER,147,1,268,61,101,333,160,160,168,160,0,0,75,138,268,61,101,333,160,160,168,160,0,0,75,138,268,61,101,333,160,160,168,160,0,0,75,138
ARCHER,148,1,391,232,105,375,145,145,175,145,0,0,254,380,391,232,105,375,145,145,175,145,0,0,254,380,391,232,105,375,145,145,175,145,0,0,254,380
ARCHER,149,3,380,225,141,359,157,157,166,157,0,0,201,338,359,189,88,355,157,157,147,157,0,0,0,310,403,276,235,364,157,157,183,157,0,0,345,353
ARCHER,150,3,342,139,98,278,155,155,163,155,0,0,150,274,258,97,80,114,143,143,133,143,0,0,0,214,393,213,108,361,163,163,180,163,0,0,261,380
ARCHER,151,7,309,135,114,288,139,139,142,139,0,0,112,250,77,8,40,60,81,81,67,81,0,0,0,0,406,221,310,370,163,163,180,163,0,0,272,382
ARCHER,152,3,318,186,96,325,140,140,161,140,0,0,165,311,274,160,84,265,113,113,140,113,0,0,0,222,383,206,104,372,158,158,174,158,0,0,270,387
ARCHER,153,1,355,62,112,370,163,163,187,163,0,0,0,165,355,62,112,370,163,163,187,163,0,0,0,165,355,62,112,370,163,163,187,163,0,0,0,165
ARCHER,154,4,321,193,90,233,141,141,150,141,0,0,199,262,152,145,64,90,107,107,107,107,0,0,0,107,403,236,108,360,159,159,179,159,0,0,280,375
ARCHER,155,3,375,192,97,367,155,155,161,155,0,0,256,339,372,185,88,360,142,142,147,142,0,0,241,312,379,203,104,381,165,165,173,165,0,0,275,375
ARCHER,156,4,301,96,94,340,150,150,157,150,0,0,153,186,170,42,77,295,128,128,128,128,0,0,0,0,401,206,104,370,161,161,177,161,0,0,289,276
ARCHER,157,4,290,145,133,296,128,128,152,128,0,0,137,270,72,13,40,60,37,37,67,37,0,0,0,42,400,235,276,381,163,163,182,163,0,0,279,353
ARCHER,158,2,246,104,70,226,88,88,116,88,0,0,98,151,147,19,46,133,58,58,76,58,0,0,0,0,345,189,94,320,118,118,157,118,0,0,195,302
ARCHER,160,6,381,194,104,322,154,154,174,154,0,0,240,264,340,53,92,143,150,150,153,150,0,0,0,0,408,260,108,376,160,160,180,160,0,0,349,393
ARCHER,161,2,378,130,96,364,168,168,162,168,0,0,146,196,365,27,89,354,161,161,149,161,0,0,0,0,391,234,104,375,175,175,174,175,0,0,292,392
ARCHER,162,2,194,96,60,90,111,116,100,111,0,0,84,130,50,42,30,60,108,114,50,108,0,0,0,0,339,149,90,121,114,118,150,114,0,0,167,261
ARCHER,163,3,396,239,146,370,163,163,174,163,0,0,185,327,389,225,94,367,153,153,156,153,0,0,0,300,406,256,233,375,173,173,183,173,0,0,279,376
ARCHER,164,3,383,212,104,362,158,158,173,158,0,0,192,242,362,142,96,341,148,148,160,148,0,0,0,0,394,257,112,381,171,171,186,171,0,0,309,383
ARCHER,165,5,357,186,133,347,158,158,154,158,0,0,158,293,300,42,80,245,133,133,133,133,0,0,0,0,402,233,310,378,171,171,183,171,0,0,270,410
ARCHER,166,1,412,220,114,381,153,153,190,153,0,0,281,375,412,220,114,381,153,153,190,153,0,0,281,375,412,220,114,381,153,153,190,153,0,0,281,375
ARCHER,167,3,396,223,182,369,150,150,180,150,0,0,277,347,349,215,100,365,147,147,167,147,0,0,269,325,421,229,334,377,153,153,187,153,0,0,291,383
ARCHER,168,4,286,169,90,237,158,158,150,158,0,0,159,280,145,69,62,105,130,130,103,130,0,0,0,134,388,245,103,375,168,168,172,168,0,0,345,384
ARCHER,169,1,406,154,108,360,153,153,180,153,0,0,259,356,406,154,108,360,153,153,180,153,0,0,259,356,406,154,108,360,153,153,180,153,0,0,259,356
ARCHER,170,3,317,166,156,291,160,160,170,234,0,0,100,231,156,40,75,134,149,149,126,163,0,0,0,0,404,234,280,376,167,167,203,373,0,0,301,358
ARCHER,171,1,385,67,108,370,160,160,180,160,0,0,285,359,385,67,108,370,160,160,180,160,0,0,285,359,385,67,108,370,160,160,180,160,0,0,285,359
ARCHER,172,1,415,256,109,370,150,150,182,150,0,0,290,396,415,256,109,370,150,150,182,150,0,0,290,396,415,256,109,370,150,150,182,150,0,0,290,396
ARCHER,173,1,417,163,110,363,158,158,183,158,0,0,266,369,417,163,110,363,158,158,183,158,0,0,266,369,417,163,110,363,158,158,183,158,0,0,266,369
ARCHER,174,4,302,123,88,284,121,121,146,121,0,0,20,228,87,13,40,60,100,100,67,100,0,0,0,47,392,241,110,381,146,146,183,146,0,0,68,369
ARCHER,175,1,381,151,108,352,188,188,180,188,0,0,130,215,381,151,108,352,188,188,180,188,0,0,130,215,381,151,108,352,188,188,180,188,0,0,130,215
